Incident Number,Exposure Number,ID,Address,Incident Date,Call Number,Alarm DtTm,Arrival DtTm,Close DtTm,City,zipcode,Battalion,Station Area,Box,Suppression Units,Suppression Personnel,EMS Units,EMS Personnel,Other Units,Other Personnel,First Unit On Scene,Estimated Property Loss,Estimated Contents Loss,Fire Fatalities,Fire Injuries,Civilian Fatalities,Civilian Injuries,Number of Alarms,Primary Situation,Mutual Aid,Action Taken Primary,Action Taken Secondary,Action Taken Other,Detector Alerted Occupants,Property Use,Area of Fire Origin,Ignition Cause,Ignition Factor Primary,Ignition Factor Secondary,Heat Source,Item First Ignited,Human Factors Associated with Ignition,Structure Type,Structure Status,Floor of Fire Origin,Fire Spread,No Flame Spread,Number of floors with minimum damage,Number of floors with significant damage,Number of floors with heavy damage,Number of floors with extreme damage,Detectors Present,Detector Type,Detector Operation,Detector Effectiveness,Detector Failure Reason,Automatic Extinguishing System Present,Automatic Extinguishing Sytem Type,Automatic Extinguishing Sytem Perfomance,Automatic Extinguishing Sytem Failure Reason,Number of Sprinkler Heads Operating,Supervisor District,neighborhood_district,point,data_as_of,data_loaded_at
20026895,0,200268950,12TH STREET,2020/03/02,200620278,2020/03/02 04:10:40 AM,2020/03/02 04:14:50 AM,2020/03/02 04:19:42 AM,San Francisco,94103,B02,36,5116,1,4,0,0,0,0,,,,0,0,0,0,1,"151 Outside rubbish, trash or waste fire",N None,11 Extinguishment by fire service personnel,,,,UUU Undetermined,,,,,,,,,,,,NA,,,,,,,,,,,,,,,6,Mission,POINT (-122.418618 37.773052),2020/03/02 04:19:42 AM,2025/03/16 02:20:48 AM
20026896,0,200268960,1 101SB,2020/03/02,200620281,2020/03/02 04:12:10 AM,2020/03/02 04:15:35 AM,2020/03/02 04:21:19 AM,San Francisco,94124,B10,09,2626,1,4,0,0,0,0,,,,0,0,0,0,1,"150 Outside rubbish fire, other",N None,11 Extinguishment by fire service personnel,,,,961 Highway or divided highway,,,,,,,,,,,,NA,,,,,,,,,,,,,,,9,Bernal Heights,POINT (-122.404979 37.749084),2020/03/02 04:21:19 AM,2025/03/16 02:20:48 AM
20026899,0,200268990,EVANS AVENUE,2020/03/02,200620293,2020/03/02 04:26:44 AM,2020/03/02 04:32:09 AM,2020/03/02 04:49:43 AM,San Francisco,94124,B10,09,6422,1,4,0,0,0,0,,,,0,0,0,0,1,"571 Cover assignment, standby, moveup",N None,92 Standby,,,,"500 Mercantile, business, other",,,,,,,,,,,,NA,,,,,,,,,,,,,,,10,Bayview Hunters Point,POINT (-122.39601 37.747262),2020/03/02 04:49:43 AM,2025/03/16 02:20:48 AM
20026902,0,200269020,443 CONNECTICUT ST 2,2020/03/02,200620311,2020/03/02 04:46:18 AM,2020/03/02 04:49:14 AM,2020/03/02 04:54:05 AM,San Francisco,94107,B10,37,2523,3,10,0,0,0,0,,,,0,0,0,0,1,"700 False alarm or false call, other",N None,86 Investigate,,,,"400 Residential, other",,,,,,,,,,,,NA,,,,,,,,,,,,,,,10,Potrero Hill,POINT (-122.397234 37.760693),2020/03/02 04:54:05 AM,2025/03/16 02:20:48 AM
20026907,0,200269070,3092 16TH STREET,2020/03/02,200620323,2020/03/02 04:59:34 AM,2020/03/02 05:07:22 AM,2020/03/02 05:09:54 AM,San Francisco,94103,B02,07,5236,1,5,0,0,0,0,,,,0,0,0,0,1,"600 Good intent call, other",N None,71 Assist physically disabled,,,,173 Bus station,,,,,,,,,,,,NA,,,,,,,,,,,,,,,9,Mission,POINT (-122.42173 37.764996),2020/03/02 05:09:54 AM,2025/03/16 02:20:48 AM
20026908,0,200269080,116 WAVERLY PLACE,2020/03/02,200620324,2020/03/02 05:01:30 AM,2020/03/02 05:05:57 AM,2020/03/02 05:13:24 AM,San Francisco,94108,B01,13,1313,3,11,0,0,0,0,,,,0,0,0,0,1,"743 Smoke detector activation, no fire - unintentional",N None,86 Investigate,,,,429 Multifamily dwelling,,,,,,,,,,,,NA,,,,,,,,,,,,,,,3,Chinatown,POINT (-122.406778 37.794398),2020/03/02 05:13:24 AM,2025/03/16 02:20:48 AM
20026917,0,200269170,2111 MARKET STREET,2020/03/02,200620367,2020/03/02 05:36:03 AM,2020/03/02 05:40:24 AM,2020/03/02 06:26:06 AM,San Francisco,94114,B05,06,5127,8,29,1,2,2,3,,500,0,0,0,0,0,1,"150 Outside rubbish fire, other",N None,11 Extinguishment by fire service personnel,,,,"500 Mercantile, business, other","05 Entranceway, lobby",1 Intentional,"10 Misuse of material or product, other",,"65 Lighter: cigarette, cigar","92 Magazine, newspaper, writing paper",N None,,,,,NA,,,,,,,,,,,,,,,8,Castro/Upper Market,POINT (-122.42915 37.767248),2020/03/04 10:37:05 AM,2025/03/16 02:20:48 AM
20026925,0,200269250,680 9TH AVENUE,2020/03/02,200620435,2020/03/02 06:31:37 AM,2020/03/02 06:35:37 AM,2020/03/02 06:46:14 AM,San Francisco,94118,B07,31,7134,3,10,0,0,0,0,,,,0,0,0,0,1,"746 Carbon monoxide detector activation, no CO",N None,86 Investigate,,,,419 1 or 2 family dwelling,,,,,,,,,,,,NA,,,,,,,,,,,,,,,1,Inner Richmond,POINT (-122.467028 37.775612),2020/03/02 06:46:14 AM,2025/03/16 02:20:48 AM
20026940,0,200269400,1415 LINCOLN WAY,2020/03/02,200620612,2020/03/02 07:41:33 AM,2020/03/02 07:41:33 AM,2020/03/02 08:59:12 AM,San Francisco,94122,B08,22,7367,2,8,3,5,0,0,,,,0,0,0,0,1,322 Motor vehicle accident with injuries,N None,33 Provide advanced life support (ALS),,,,"962 Residential street, road or residential driveway",,,,,,,,,,,,NA,,,,,,,,,,,,,,,7,Inner Sunset,POINT (-122.47314 37.765562),2020/03/02 08:59:12 AM,2025/03/16 02:20:48 AM
20026945,0,200269450,CALIFORNIA STREET,2020/03/02,200620648,2020/03/02 07:54:42 AM,2020/03/02 07:58:52 AM,2020/03/02 08:06:05 AM,San Francisco,94108,B01,41,1445,1,4,0,0,0,0,,,,0,0,0,0,1,"500 Service Call, other",N None,"00 Action taken, other",,,,"000 Property Use, other",,,,,,,,,,,,NA,,,,,,,,,,,,,,,3,Nob Hill,POINT (-122.412463 37.791628),2020/03/02 08:06:05 AM,2025/03/16 02:20:48 AM
